graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.076821649452171,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
0.0,age,1.0722622057965376,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
0.0,race/ethnicity,1.1556603773584906,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
0.0,religion,1.138992198838897,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
0.0,political affiliation,1.2018098766207266,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
0.0,gender,0.9260099177552008,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
0.0,age,0.8226119564621298,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
0.0,race/ethnicity,0.8600263273365512,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
0.0,religion,0.9285281153065745,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
0.0,political affiliation,0.8056286284470248,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
1.0,gender,1.1075879822936614,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
1.0,age,1.048434156778837,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
1.0,race/ethnicity,1.2513012361743656,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
1.0,religion,0.9889785921625543,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
1.0,political affiliation,1.1152795655040342,iterative_gpt-4.1-nano_n5_culture_brazil,same_ratio
1.0,gender,0.8963776003870344,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
1.0,age,0.8669573401328249,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
1.0,race/ethnicity,0.7740236946028961,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
1.0,religion,1.005667374116659,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
1.0,political affiliation,0.8889695210449927,iterative_gpt-4.1-nano_n5_culture_brazil,cross_ratio
