graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0607321131447587,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
0.0,age,1.5249140893470792,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
0.0,race/ethnicity,1.379310344827586,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
0.0,religion,1.502403846153846,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
0.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
0.0,gender,0.9415064102564102,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
0.0,age,0.6967279293033088,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
0.0,race/ethnicity,0.6589147286821706,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
0.0,religion,0.7416563658838071,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
0.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
1.0,gender,1.019134775374376,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
1.0,age,1.3579425784281123,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
1.0,race/ethnicity,1.456305617352614,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
1.0,religion,1.2467528691066998,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
1.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,same_ratio
1.0,gender,0.9815705128205128,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
1.0,age,0.7324945235824531,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
1.0,race/ethnicity,0.5896786696674169,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
1.0,religion,0.8731159535866662,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
1.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,cross_ratio
