graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15918367346938775,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,avg_clustering_coef,0.6308398899002615,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,prop_nodes_lcc,1.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,radius,1.0224888745413259,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,diameter,1.7893555304473203,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,avg_shortest_path,0.7061433370301727,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,modularity,0.4970808678500986,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,density,0.1893877551020408,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,avg_clustering_coef,0.5876684864842759,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,prop_nodes_lcc,1.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,radius,0.7668666559059943,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,diameter,1.2781110931766573,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,avg_shortest_path,0.66315707005966,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
1.0,modularity,0.46290688168846617,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,
0.0,degree_centrality,0.22448979591836732,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,28
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,5
0.0,degree_centrality,0.2040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,34
0.0,degree_centrality,0.3877551020408163,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,13
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,46
0.0,degree_centrality,0.32653061224489793,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,7
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,22
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,10
0.0,degree_centrality,0.2040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,4
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,26
0.0,degree_centrality,0.2040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,15
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,32
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,11
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,37
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,44
0.0,degree_centrality,0.36734693877551017,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,41
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,16
0.0,degree_centrality,0.36734693877551017,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,14
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,9
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,39
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,43
0.0,degree_centrality,0.32653061224489793,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,33
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,19
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,17
0.0,degree_centrality,0.2857142857142857,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,1
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,12
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,21
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,47
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,48
0.0,degree_centrality,0.3469387755102041,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,35
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,23
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,2
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,36
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,6
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,27
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,38
0.0,degree_centrality,0.26530612244897955,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,42
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,31
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,20
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,8
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,3
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,45
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,49
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,18
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,29
0.0,degree_centrality,0.04081632653061224,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,24
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,30
0.0,degree_centrality,0.04081632653061224,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,25
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,40
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,0
0.0,betweenness_centrality,0.02482066780536168,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,28
0.0,betweenness_centrality,0.005547180993609564,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,5
0.0,betweenness_centrality,0.0020844069951212805,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,34
0.0,betweenness_centrality,0.5449705693965897,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,13
0.0,betweenness_centrality,0.0008260753796468082,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,46
0.0,betweenness_centrality,0.037678258532850374,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,7
0.0,betweenness_centrality,0.0003607503607503607,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,22
0.0,betweenness_centrality,0.0012755102040816326,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,10
0.0,betweenness_centrality,0.045563721520354164,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,4
0.0,betweenness_centrality,0.014529006046863188,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,26
0.0,betweenness_centrality,0.002430555555555555,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,15
0.0,betweenness_centrality,0.05563058917650748,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,32
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,11
0.0,betweenness_centrality,0.05381947512049553,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,37
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,44
0.0,betweenness_centrality,0.042929783746110284,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,41
0.0,betweenness_centrality,0.00017006802721088437,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,16
0.0,betweenness_centrality,0.07727778882115617,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,14
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,9
0.0,betweenness_centrality,0.004251700680272108,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,39
0.0,betweenness_centrality,0.048907717849044366,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,43
0.0,betweenness_centrality,0.5276586626714178,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,33
0.0,betweenness_centrality,0.009714890646013089,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,19
0.0,betweenness_centrality,0.0019325912183055037,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,17
0.0,betweenness_centrality,0.09914199085117453,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,1
0.0,betweenness_centrality,0.00838833549292733,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,12
0.0,betweenness_centrality,0.006963770356627498,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,21
0.0,betweenness_centrality,0.00481859410430839,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,47
0.0,betweenness_centrality,0.006963770356627498,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,48
0.0,betweenness_centrality,0.05510179540791787,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,35
0.0,betweenness_centrality,0.0074598021026592454,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,23
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,2
0.0,betweenness_centrality,0.05564068159731425,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,36
0.0,betweenness_centrality,0.006963770356627498,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,6
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,27
0.0,betweenness_centrality,0.010706862109923335,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,38
0.0,betweenness_centrality,0.012323858114674442,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,42
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,31
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,20
0.0,betweenness_centrality,0.009188397581254726,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,8
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,3
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,45
0.0,betweenness_centrality,0.009026428031530077,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,49
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,18
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,29
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,24
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,30
0.0,betweenness_centrality,0.04081632653061224,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,25
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,40
0.0,betweenness_centrality,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,0
0.0,closeness_centrality,0.392,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,28
0.0,closeness_centrality,0.392,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,5
0.0,closeness_centrality,0.3858267716535433,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,34
0.0,closeness_centrality,0.532608695652174,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,13
0.0,closeness_centrality,0.3798449612403101,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,46
0.0,closeness_centrality,0.4117647058823529,sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,7
