graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15510204081632653,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,avg_clustering_coef,0.629421787362964,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,prop_nodes_lcc,0.4,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,radius,0.6676164013906681,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,diameter,1.0014246020860023,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,avg_shortest_path,0.5358500063793521,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,modularity,0.5355678670360111,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,density,0.2,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,avg_clustering_coef,0.7096206557460428,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,prop_nodes_lcc,0.48,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,radius,0.6293159608882497,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,diameter,0.9439739413323746,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,avg_shortest_path,0.4640065146404305,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,modularity,0.47660141607663464,iterative_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,degree_centrality,0.2857142857142857,iterative_gpt-4.1-mini_n5_culture_us_lang_english,28
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_us_lang_english,5
0.0,degree_centrality,0.24489795918367346,iterative_gpt-4.1-mini_n5_culture_us_lang_english,34
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_us_lang_english,46
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-mini_n5_culture_us_lang_english,22
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_us_lang_english,32
0.0,degree_centrality,0.2857142857142857,iterative_gpt-4.1-mini_n5_culture_us_lang_english,15
0.0,degree_centrality,0.16326530612244897,iterative_gpt-4.1-mini_n5_culture_us_lang_english,26
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_us_lang_english,11
0.0,degree_centrality,0.3469387755102041,iterative_gpt-4.1-mini_n5_culture_us_lang_english,7
0.0,degree_centrality,0.2040816326530612,iterative_gpt-4.1-mini_n5_culture_us_lang_english,37
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-mini_n5_culture_us_lang_english,29
0.0,degree_centrality,0.16326530612244897,iterative_gpt-4.1-mini_n5_culture_us_lang_english,42
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-mini_n5_culture_us_lang_english,10
0.0,degree_centrality,0.16326530612244897,iterative_gpt-4.1-mini_n5_culture_us_lang_english,44
0.0,degree_centrality,0.3469387755102041,iterative_gpt-4.1-mini_n5_culture_us_lang_english,41
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-mini_n5_culture_us_lang_english,16
0.0,degree_centrality,0.16326530612244897,iterative_gpt-4.1-mini_n5_culture_us_lang_english,9
0.0,degree_centrality,0.1020408163265306,iterative_gpt-4.1-mini_n5_culture_us_lang_english,40
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-mini_n5_culture_us_lang_english,21
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1-mini_n5_culture_us_lang_english,1
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1-mini_n5_culture_us_lang_english,43
0.0,degree_centrality,0.08163265306122448,iterative_gpt-4.1-mini_n5_culture_us_lang_english,2
0.0,degree_centrality,0.36734693877551017,iterative_gpt-4.1-mini_n5_culture_us_lang_english,33
0.0,degree_centrality,0.08163265306122448,iterative_gpt-4.1-mini_n5_culture_us_lang_english,30
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_us_lang_english,12
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_us_lang_english,35
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-mini_n5_culture_us_lang_english,47
0.0,degree_centrality,0.08163265306122448,iterative_gpt-4.1-mini_n5_culture_us_lang_english,36
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1-mini_n5_culture_us_lang_english,48
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_us_lang_english,19
0.0,degree_centrality,0.2040816326530612,iterative_gpt-4.1-mini_n5_culture_us_lang_english,17
0.0,degree_centrality,0.16326530612244897,iterative_gpt-4.1-mini_n5_culture_us_lang_english,45
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,27
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-mini_n5_culture_us_lang_english,38
0.0,degree_centrality,0.1020408163265306,iterative_gpt-4.1-mini_n5_culture_us_lang_english,13
0.0,degree_centrality,0.1020408163265306,iterative_gpt-4.1-mini_n5_culture_us_lang_english,31
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-mini_n5_culture_us_lang_english,4
0.0,degree_centrality,0.16326530612244897,iterative_gpt-4.1-mini_n5_culture_us_lang_english,8
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-mini_n5_culture_us_lang_english,6
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,18
0.0,degree_centrality,0.02040816326530612,iterative_gpt-4.1-mini_n5_culture_us_lang_english,14
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,20
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,25
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,49
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,24
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,23
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,39
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,3
0.0,degree_centrality,0.0,iterative_gpt-4.1-mini_n5_culture_us_lang_english,0
0.0,betweenness_centrality,0.00857831227729187,iterative_gpt-4.1-mini_n5_culture_us_lang_english,28
0.0,betweenness_centrality,0.0032231940395205695,iterative_gpt-4.1-mini_n5_culture_us_lang_english,5
0.0,betweenness_centrality,0.005355118237771299,iterative_gpt-4.1-mini_n5_culture_us_lang_english,34
0.0,betweenness_centrality,0.0005830903790087463,iterative_gpt-4.1-mini_n5_culture_us_lang_english,46
