graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1783745840266222,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
0.0,age,1.534758018327606,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
0.0,race/ethnicity,1.3310434626436782,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
0.0,religion,1.4723557692307692,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
0.0,political affiliation,2.038269550748752,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
0.0,gender,0.8282001201923077,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
0.0,age,0.684831380953779,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
0.0,race/ethnicity,0.7023175064599484,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
0.0,religion,0.7571075401730532,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
0.0,political affiliation,0.0,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
1.0,gender,1.1245625107579322,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
1.0,age,1.5241734802701743,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
1.0,race/ethnicity,1.4201843043995244,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
1.0,religion,1.1804231598143236,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
1.0,political affiliation,2.038269550748752,local_gpt-4.1_n5_culture_us_lang_japanese,same_ratio
1.0,gender,0.8800287356321839,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
1.0,age,0.7614634595740503,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
1.0,race/ethnicity,0.6221598503074044,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
1.0,religion,0.9072236903797791,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
1.0,political affiliation,0.0,local_gpt-4.1_n5_culture_us_lang_japanese,cross_ratio
